Food_ID,Food_Name,Type,Calories,Protein,Fat,Carbs,Meal_Type,Price,Food_Image_URL,Cuisine
1,Vegan Energy Balls,Vegan,364,29.1,6,76.8,Snack,64,food_images/Vegan Energy Balls.jpg,American
2,Kale Chips,Vegan,643,10.3,13.9,58.8,Snack,146,food_images/Kale Chips.jpg,American
3,Hummus with Veggies,Vegan,245,8.4,18.9,59.5,Snack,61,food_images/Hummus with Veggies.jpg,Middle Eastern
4,Roasted Chickpeas,Vegan,347,11.3,2.4,74,Snack,109,food_images/Roasted Chickpeas.jpg,Middle Eastern
5,Vegan Protein Bar,Vegan,365,7.7,29.5,27.6,Snack,83,food_images/Vegan Protein Bar.jpg,American
6,Fruit Salad,Vegan,611,30.7,21.6,29.5,Snack,163,food_images/Fruit Salad.jpg,Other
7,Peanut Butter Dates,Vegan,223,28.7,6.6,46.6,Snack,162,food_images/Peanut Butter Dates.jpg,Other
8,Vegan Smoothie,Vegan,505,10,15.8,44,Snack,193,food_images/Vegan Smoothie.jpg,Other
9,Trail Mix,Vegan,658,17.4,9.8,34.6,Snack,170,food_images/Trail Mix.jpg,Other
10,Avocado Toast,Vegan,483,17.2,4.9,16.4,Snack,125,food_images/Avocado Toast.jpg,Other
11,Coconut Yogurt,Vegan,675,39.2,25.4,26.5,Snack,92,food_images/Coconut Yogurt.jpg,Mediterranean
12,Vegan Muffins,Vegan,278,38.3,3.2,59.3,Snack,197,food_images/Vegan Muffins.jpg,Other
13,Granola,Vegan,255,31.4,19.6,11.7,Snack,79,food_images/Granola.jpg,American
14,Vegan Popcorn,Vegan,393,16,8.3,12.1,Snack,186,food_images/Vegan Popcorn.jpg,Other
15,Chia Pudding,Vegan,346,37.4,11.2,36.7,Snack,85,food_images/Chia Pudding.jpg,Other
16,Vegan Buddha Bowl,Vegan,364,25.4,18,38.3,Lunch,247,food_images/Vegan Buddha Bowl.jpg,Other
17,Quinoa Salad,Vegan,349,39.8,12.4,47.6,Lunch,230,food_images/Quinoa Salad.jpg,Other
18,Vegan Wrap,Vegan,497,15.1,22.3,51.3,Lunch,278,food_images/Vegan Wrap.jpg,Other
19,Grilled Veggie Sandwich,Vegan,278,32,28,44.9,Lunch,246,food_images/Grilled Veggie Sandwich.jpg,American
20,Lentil Soup,Vegan,397,39.6,17.7,36.2,Lunch,203,food_images/Lentil Soup.jpg,Other
21,Falafel with Hummus,Vegan,364,32,17.7,27,Lunch,224,food_images/Falafel with Hummus.jpg,Middle Eastern
22,Stuffed Bell Peppers,Vegan,386,7.7,5.1,38.6,Lunch,211,food_images/Stuffed Bell Peppers.jpg,Other
23,Vegan Pasta,Vegan,634,6.4,21.6,45.4,Lunch,346,food_images/Vegan Pasta.jpg,Italian
24,Veggie Stir Fry,Vegan,692,34.6,22.5,35.9,Lunch,333,food_images/Veggie Stir Fry.jpg,Chinese
25,Tofu Salad,Vegan,463,20.2,13.9,29.9,Lunch,253,food_images/Tofu Salad.jpg,Japanese
26,Sweet Potato Bowl,Vegan,267,37.4,25.1,71.5,Lunch,235,food_images/Sweet Potato Bowl.jpg,Other
27,Vegan Burrito,Vegan,477,30.1,11.3,40.9,Lunch,289,food_images/Vegan Burrito.jpg,Mexican
28,Couscous Salad,Vegan,495,36.1,25.5,68.7,Lunch,300,food_images/Couscous Salad.jpg,Other
29,Vegan Sushi,Vegan,381,16.5,24.1,57.9,Lunch,245,food_images/Vegan Sushi.jpg,Japanese
30,Chickpea Curry,Vegan,391,10.9,13.7,15.2,Lunch,224,food_images/Chickpea Curry.jpg,Indian
31,Vegan Pizza,Vegan,345,19.6,10.9,26.9,Dinner,203,food_images/Vegan Pizza.jpg,Italian
32,Tofu Stir Fry,Vegan,151,33,23.4,39.9,Dinner,234,food_images/Tofu Stir Fry.jpg,Chinese
33,Vegan Burger,Vegan,633,11.7,25.9,49.2,Dinner,307,food_images/Vegan Burger.jpg,American
34,Vegan Lasagna,Vegan,223,6.9,7.5,63.3,Dinner,246,food_images/Vegan Lasagna.jpg,Italian
35,Stuffed Eggplant,Vegan,403,19.8,5.3,41.1,Dinner,279,food_images/Stuffed Eggplant.jpg,Other
36,Vegan Tacos,Vegan,460,11.5,18.2,77.2,Dinner,287,food_images/Vegan Tacos.jpg,Mexican
37,Vegan Chili,Vegan,256,39.4,3.1,43,Dinner,238,food_images/Vegan Chili.jpg,Other
38,Mushroom Risotto,Vegan,692,18.2,16.6,15,Dinner,343,food_images/Mushroom Risotto.jpg,Italian
39,Vegan Paella,Vegan,527,16.8,22.1,39.7,Dinner,282,food_images/Vegan Paella.jpg,Other
40,Thai Green Curry,Vegan,504,18.1,28.6,61.2,Dinner,252,food_images/Thai Green Curry.jpg,Indian
41,Vegan Shepherdâ€™s Pie,Vegan,471,20,13.1,55.8,Dinner,252,food_images/Vegan Shepherd’s Pie.jpg,Other
42,Cauliflower Steaks,Vegan,391,6.4,22.3,43.3,Dinner,200,food_images/Cauliflower Steaks.jpg,Other
43,Vegan Noodles,Vegan,194,28.8,21.9,57.3,Dinner,245,food_images/Vegan Noodles.jpg,Chinese
44,Vegan Stew,Vegan,334,39.2,26,55.9,Dinner,227,food_images/Vegan Stew.jpg,Other
45,Jackfruit Curry,Vegan,236,5.5,29.3,61.8,Dinner,227,food_images/Jackfruit Curry.jpg,Indian
46,Vegan Pancakes,Vegan,157,5.5,5.1,70.6,Breakfast,174,food_images/Vegan Pancakes.jpg,Other
47,Oatmeal,Vegan,161,9.2,20.1,18.6,Breakfast,199,food_images/Oatmeal.jpg,Other
48,Vegan Smoothie Bowl,Vegan,261,16.9,9,54.3,Breakfast,168,food_images/Vegan Smoothie Bowl.jpg,Other
50,Vegan Waffles,Vegan,440,35.7,3.2,23.5,Breakfast,121,food_images/Vegan Waffles.jpg,Other
52,Vegan Scramble,Vegan,223,24.7,23.8,54.9,Breakfast,189,food_images/Vegan Scramble.jpg,Other
53,Fruit Bowl,Vegan,292,20,26.6,19.4,Breakfast,196,food_images/Fruit Bowl.jpg,Other
54,Granola with Almond Milk,Vegan,619,39.8,21.1,62.5,Breakfast,152,food_images/Granola with Almond Milk.jpg,American
55,Vegan Bagel with Spread,Vegan,678,10.4,9,47.6,Breakfast,139,food_images/Vegan Bagel with Spread.jpg,Other
56,Tofu Scramble Wrap,Vegan,195,15,10.2,37.7,Breakfast,141,food_images/Tofu Scramble Wrap.jpg,Japanese
58,Peanut Butter Toast,Vegan,451,14.5,3.2,31.8,Breakfast,100,food_images/Peanut Butter Toast.jpg,Other
59,Vegan Yogurt Bowl,Vegan,258,18.5,20.1,48.6,Breakfast,124,food_images/Vegan Yogurt Bowl.jpg,Mediterranean
60,Vegan Overnight Oats,Vegan,567,10.3,29.6,20.1,Breakfast,111,food_images/Vegan Overnight Oats.jpg,American
61,Paneer Tikka,Veg,670,31.5,5,15.5,Snack,178,food_images/Paneer Tikka.jpg,Indian
62,Veg Sandwich,Veg,164,33.6,14.2,70.5,Snack,139,food_images/Veg Sandwich.jpg,American
63,Dhokla,Veg,318,20.4,11.6,79.8,Snack,73,food_images/Dhokla.jpg,Other
64,Samosa,Veg,403,16.7,6.6,16,Snack,83,food_images/Samosa.jpg,Other
65,Veg Cutlet,Veg,269,19.8,11.1,76.6,Snack,80,food_images/Veg Cutlet.jpg,Other
66,Bhel Puri,Veg,311,13.8,10.7,74.2,Snack,99,food_images/Bhel Puri.jpg,Other
67,Veg Pakora,Veg,207,17.3,3.5,44.9,Snack,166,food_images/Veg Pakora.jpg,Other
68,Veg Momos,Veg,339,9.5,25.7,79.9,Snack,85,food_images/Veg Momos.jpg,Other
69,Veg Spring Roll,Veg,385,9.3,25.1,65.4,Snack,193,food_images/Veg Spring Roll.jpg,Chinese
70,Masala Corn,Veg,408,23,22.2,32.7,Snack,134,food_images/Masala Corn.jpg,Indian
71,Veg Burger,Veg,350,34.4,27.3,39.8,Snack,161,food_images/Veg Burger.jpg,American
72,Cheese Toast,Veg,250,30.1,6.5,20.2,Snack,83,food_images/Cheese Toast.jpg,Other
73,Veg Frankie,Veg,439,28.3,13.9,24.8,Snack,147,food_images/Veg Frankie.jpg,Other
74,Veg Pizza Slice,Veg,276,22.4,11.7,76.7,Snack,139,food_images/Veg Pizza Slice.jpg,Italian
75,Idli with Chutney,Veg,168,15.7,21.8,47.9,Snack,153,food_images/Idli with Chutney.jpg,Other
76,Paneer Butter Masala,Veg,254,7.2,3,52.1,Lunch,208,food_images/Paneer Butter Masala.jpg,Indian
77,Dal Fry with Rice,Veg,376,30.9,22.7,62.5,Lunch,233,food_images/Dal Fry with Rice.jpg,Indian
78,Chole Bhature,Veg,368,33,28.4,63.9,Lunch,226,food_images/Chole Bhature.jpg,Other
79,Vegetable Pulao,Veg,250,7.3,9.8,59.1,Lunch,216,food_images/Vegetable Pulao.jpg,Other
80,Rajma Chawal,Veg,339,15.3,13.1,73.4,Lunch,222,food_images/Rajma Chawal.jpg,Other
81,Palak Paneer,Veg,307,20.5,25.6,55.9,Lunch,232,food_images/Palak Paneer.jpg,Indian
82,Veg Biryani,Veg,323,29,8.9,78.7,Lunch,229,food_images/Veg Biryani.jpg,Indian
83,Veg Thali,Veg,647,38.3,14.9,40.2,Lunch,319,food_images/Veg Thali.jpg,Other
84,Aloo Paratha,Veg,677,21.8,13.3,13.5,Lunch,315,food_images/Aloo Paratha.jpg,Indian
85,Kadhi Chawal,Veg,162,8.7,14.5,79.3,Lunch,224,food_images/Kadhi Chawal.jpg,Other
86,Vegetable Khichdi,Veg,367,24.1,9.6,26.9,Lunch,249,food_images/Vegetable Khichdi.jpg,Other
87,Shahi Paneer,Veg,653,13,21.3,14.7,Lunch,307,food_images/Shahi Paneer.jpg,Indian
88,Veg Kofta Curry,Veg,303,11.8,18.5,50.4,Lunch,240,food_images/Veg Kofta Curry.jpg,Indian
89,Bhindi Masala,Veg,360,9.7,20.6,44.9,Lunch,228,food_images/Bhindi Masala.jpg,Indian
90,Mix Veg Curry,Veg,220,18.2,13.3,75.3,Lunch,239,food_images/Mix Veg Curry.jpg,Indian
91,Paneer Tikka Masala,Veg,699,26.8,27.2,61.5,Dinner,332,food_images/Paneer Tikka Masala.jpg,Indian
92,Veg Handi,Veg,337,32.2,26.1,79.6,Dinner,247,food_images/Veg Handi.jpg,Other
93,Paneer Lababdar,Veg,518,20.9,28.6,27.8,Dinner,253,food_images/Paneer Lababdar.jpg,Indian
94,Veg Fried Rice,Veg,346,5.2,14,16.1,Dinner,200,food_images/Veg Fried Rice.jpg,Chinese
95,Veg Hakka Noodles,Veg,595,38.6,16.7,10.6,Dinner,263,food_images/Veg Hakka Noodles.jpg,Chinese
96,Stuffed Paratha,Veg,544,35.9,15.2,56.9,Dinner,274,food_images/Stuffed Paratha.jpg,Indian
97,Matar Paneer,Veg,412,6.1,9.6,61.5,Dinner,253,food_images/Matar Paneer.jpg,Indian
98,Veg Korma,Veg,344,26.7,17,41.2,Dinner,250,food_images/Veg Korma.jpg,Other
100,Dal Tadka with Roti,Veg,324,17.9,2.7,65.6,Dinner,228,food_images/Dal Tadka with Roti.jpg,Indian
101,Veg Manchurian,Veg,322,7.3,3.3,18.2,Dinner,230,food_images/Veg Manchurian.jpg,Chinese
102,Jeera Rice with Curry,Veg,597,31.9,8.1,49.4,Dinner,300,food_images/Jeera Rice with Curry.jpg,Indian
103,Malai Kofta,Veg,252,14.8,19.3,55.5,Dinner,201,food_images/Malai Kofta.jpg,Other
104,Baingan Bharta,Veg,612,5.9,29.7,60.3,Dinner,301,food_images/Baingan Bharta.jpg,Other
105,Gobi Masala,Veg,528,23.1,6.7,22.4,Dinner,283,food_images/Gobi Masala.jpg,Indian
106,Poha,Veg,606,37.2,25.6,46.6,Breakfast,157,food_images/Poha.jpg,Indian
107,Upma,Veg,470,12,21.2,34,Breakfast,132,food_images/Upma.jpg,Other
109,Masala Dosa,Veg,435,10.4,28,32,Breakfast,117,food_images/Masala Dosa.jpg,Indian
110,Idli Sambar,Veg,160,24.5,3,59.9,Breakfast,174,food_images/Idli Sambar.jpg,Other
111,Pav Bhaji,Veg,457,15.8,12.5,28.8,Breakfast,200,food_images/Pav Bhaji.jpg,Other
112,Chole Kulche,Veg,510,12,14.9,18.1,Breakfast,144,food_images/Chole Kulche.jpg,Other
114,Thepla,Veg,193,10.3,8.5,19.4,Breakfast,176,food_images/Thepla.jpg,Other
115,Vegetable Uttapam,Veg,243,39.7,14.9,26.7,Breakfast,118,food_images/Vegetable Uttapam.jpg,Other
116,Besan Chilla,Veg,192,17.2,3,47.1,Breakfast,179,food_images/Besan Chilla.jpg,Other
118,Onion Dosa,Veg,500,8.1,7.7,16.6,Breakfast,124,food_images/Onion Dosa.jpg,Other
119,Poori Sabzi,Veg,204,14.6,7.1,49.1,Breakfast,116,food_images/Poori Sabzi.jpg,Indian
120,Paneer Paratha,Veg,286,39.5,28,31.1,Breakfast,150,food_images/Paneer Paratha.jpg,Indian
121,Chicken Tikka,Non-Veg,202,10,16.7,41.3,Snack,107,food_images/Chicken Tikka.jpg,Indian
122,Egg Roll,Non-Veg,472,20.6,7.4,73.6,Snack,74,food_images/Egg Roll.jpg,Other
123,Chicken Pakora,Non-Veg,585,19.4,25.1,51,Snack,186,food_images/Chicken Pakora.jpg,Other
124,Fish Fingers,Non-Veg,317,33,29.9,47.3,Snack,100,food_images/Fish Fingers.jpg,Other
125,Chicken Nuggets,Non-Veg,202,32.3,9.2,30.4,Snack,182,food_images/Chicken Nuggets.jpg,Other
126,Mutton Seekh Kebab,Non-Veg,561,37.8,19.8,44.6,Snack,54,food_images/Mutton Seekh Kebab.jpg,Other
127,Egg Sandwich,Non-Veg,190,11.3,29.3,61.1,Snack,85,food_images/Egg Sandwich.jpg,American
128,Chicken Momos,Non-Veg,452,30.9,2.1,61.7,Snack,100,food_images/Chicken Momos.jpg,Other
129,Chicken Wings,Non-Veg,458,34.5,22,65.7,Snack,66,food_images/Chicken Wings.jpg,Other
130,Fish Cutlet,Non-Veg,269,9.1,16.4,76.3,Snack,178,food_images/Fish Cutlet.jpg,Other
131,Chicken Popcorn,Non-Veg,633,38.4,12.6,52.2,Snack,168,food_images/Chicken Popcorn.jpg,Other
132,Chicken Shawarma,Non-Veg,506,23,11,74,Snack,79,food_images/Chicken Shawarma.jpg,Middle Eastern
133,Egg Bhurji,Non-Veg,238,32,17.2,16.7,Snack,63,food_images/Egg Bhurji.jpg,Other
134,Chicken Burger,Non-Veg,392,30.9,25.9,41.4,Snack,119,food_images/Chicken Burger.jpg,American
135,Fish Pakora,Non-Veg,338,35,27.3,20,Snack,141,food_images/Fish Pakora.jpg,Other
136,Butter Chicken,Non-Veg,208,19.1,29.3,59.9,Lunch,232,food_images/Butter Chicken.jpg,Other
137,Chicken Biryani,Non-Veg,342,14,7.2,16.4,Lunch,222,food_images/Chicken Biryani.jpg,Indian
138,Egg Curry with Rice,Non-Veg,216,19.6,15.2,26.6,Lunch,247,food_images/Egg Curry with Rice.jpg,Indian
139,Mutton Curry,Non-Veg,189,15.5,22.5,49.8,Lunch,250,food_images/Mutton Curry.jpg,Indian
140,Fish Curry,Non-Veg,574,12.1,2.6,45,Lunch,282,food_images/Fish Curry.jpg,Indian
141,Chicken Fried Rice,Non-Veg,659,29.6,11.3,17.3,Lunch,330,food_images/Chicken Fried Rice.jpg,Chinese
142,Prawn Masala,Non-Veg,580,28.6,11.5,52.6,Lunch,276,food_images/Prawn Masala.jpg,Indian
143,Mutton Rogan Josh,Non-Veg,613,32.6,29.2,78.4,Lunch,342,food_images/Mutton Rogan Josh.jpg,Other
144,Egg Biryani,Non-Veg,698,12.8,29.9,30.9,Lunch,334,food_images/Egg Biryani.jpg,Indian
145,Chicken Korma,Non-Veg,459,20.4,12.4,12.2,Lunch,263,food_images/Chicken Korma.jpg,Other
146,Fish Thali,Non-Veg,245,7.1,12.8,54.7,Lunch,204,food_images/Fish Thali.jpg,Other
147,Chicken Tandoori,Non-Veg,231,13,29.9,19.2,Lunch,236,food_images/Chicken Tandoori.jpg,Other
148,Keema Curry,Non-Veg,622,15.4,8.4,74.6,Lunch,305,food_images/Keema Curry.jpg,Indian
149,Prawn Biryani,Non-Veg,690,21.5,21.9,65.4,Lunch,314,food_images/Prawn Biryani.jpg,Indian
150,Mutton Pulao,Non-Veg,271,10.7,18.4,45.5,Lunch,230,food_images/Mutton Pulao.jpg,Other
151,Grilled Chicken,Non-Veg,436,35.4,5.7,67.4,Dinner,251,food_images/Grilled Chicken.jpg,Other
152,Chicken Curry,Non-Veg,322,7.7,23.7,52.3,Dinner,207,food_images/Chicken Curry.jpg,Indian
153,Egg Masala,Non-Veg,191,8.8,12.7,12.3,Dinner,229,food_images/Egg Masala.jpg,Indian
154,Mutton Stew,Non-Veg,588,30.2,12.2,59.8,Dinner,259,food_images/Mutton Stew.jpg,Other
155,Fish Fry with Rice,Non-Veg,178,15.5,12.3,79.9,Dinner,213,food_images/Fish Fry with Rice.jpg,Other
156,Chicken Handi,Non-Veg,668,33.8,30,16.9,Dinner,348,food_images/Chicken Handi.jpg,Other
157,Butter Chicken with Naan,Non-Veg,261,7.9,17.1,48.5,Dinner,243,food_images/Butter Chicken with Naan.jpg,Other
158,Mutton Keema,Non-Veg,293,38.7,17.8,46.5,Dinner,235,food_images/Mutton Keema.jpg,Other
159,Chicken Do Pyaza,Non-Veg,613,38.9,17.6,25.9,Dinner,300,food_images/Chicken Do Pyaza.jpg,Other
160,Fish Masala,Non-Veg,297,36.4,25.5,68.6,Dinner,222,food_images/Fish Masala.jpg,Indian
161,Chicken Shawarma Roll,Non-Veg,462,37.6,4.8,48,Dinner,295,food_images/Chicken Shawarma Roll.jpg,Middle Eastern
162,Mutton Biryani,Non-Veg,577,34.2,20.7,74,Dinner,288,food_images/Mutton Biryani.jpg,Indian
163,Egg Fried Rice,Non-Veg,550,36.9,5.9,54,Dinner,251,food_images/Egg Fried Rice.jpg,Chinese
164,Fish Curry Thali,Non-Veg,672,18.8,28.7,36.3,Dinner,339,food_images/Fish Curry Thali.jpg,Indian
165,Chicken Tikka Masala,Non-Veg,698,14.2,11,47.2,Dinner,327,food_images/Chicken Tikka Masala.jpg,Indian
166,Omelette,Non-Veg,242,20.1,26.8,59.8,Breakfast,140,food_images/Omelette.jpg,Other
168,Chicken Sausage,Non-Veg,492,37,24.4,11.1,Breakfast,123,food_images/Chicken Sausage.jpg,Other
169,Scrambled Eggs,Non-Veg,206,13.6,10.6,33.8,Breakfast,144,food_images/Scrambled Eggs.jpg,Other
170,Chicken Sandwich,Non-Veg,517,35.7,28.8,20.1,Breakfast,199,food_images/Chicken Sandwich.jpg,American
171,Egg Paratha,Non-Veg,252,30.6,12.8,79.9,Breakfast,184,food_images/Egg Paratha.jpg,Indian
172,Bacon and Eggs,Non-Veg,581,16.3,12.9,72.6,Breakfast,198,food_images/Bacon and Eggs.jpg,Other
173,Chicken Cutlet,Non-Veg,543,35.6,13.8,77.5,Breakfast,180,food_images/Chicken Cutlet.jpg,Other
174,Egg Bhurji with Bread,Non-Veg,151,32.8,17.6,33.7,Breakfast,107,food_images/Egg Bhurji with Bread.jpg,Other
175,Chicken Frankie,Non-Veg,607,31,30,41,Breakfast,193,food_images/Chicken Frankie.jpg,Other
176,Fish Sandwich,Non-Veg,507,10.7,9.5,56.4,Breakfast,182,food_images/Fish Sandwich.jpg,American
177,Egg Toast,Non-Veg,238,12.1,25,43.5,Breakfast,145,food_images/Egg Toast.jpg,Other
178,Chicken Keema Paratha,Non-Veg,194,30.1,19.3,57,Breakfast,183,food_images/Chicken Keema Paratha.jpg,Indian
180,Chicken Poha,Non-Veg,316,9.2,26.4,60.2,Breakfast,113,food_images/Chicken Poha.jpg,Indian
